academic_id,daily_study_hours,academic_pressure_score,attendance_percentage,cgpa
A-238322,9.3,8,0.849,4.17
A-238325,9.3,8,0.723,8.25
A-238337,9.3,8,0.706,6.99
A-238363,9.3,8,0.8,4.28
A-238369,9.3,8,0.985,6.04
A-238372,9.3,8,0.571,7.28
A-238380,9.3,8,0.693,8.49
A-238385,9.3,8,0.564,9.45
A-238386,9.3,8,0.811,8.46
A-238390,9.3,8,0.713,6.5
A-238408,9.3,8,0.647,7.14
A-238412,9.3,8,0.817,6.68
A-238459,9.3,8,0.647,9.53
A-238468,9.3,8,0.887,5.6
A-238473,9.3,8,0.972,5.72
A-238483,9.3,8,0.591,4.41
A-238500,9.3,8,0.567,7.64
A-238501,9.3,8,0.963,7.02
A-238521,9.3,8,0.801,5.68
A-238525,9.3,8,0.591,7.96
A-238534,9.3,8,0.612,8.84
A-238535,9.3,8,0.555,5.26
A-238551,9.3,8,0.571,6.73
A-238554,9.3,8,0.87,9.15
A-238555,9.3,8,0.686,8.99
A-238560,9.3,8,0.788,6.37
A-238572,9.3,8,0.953,7.14
A-238573,9.3,8,0.536,9.79
A-238574,9.3,8,0.801,5.71
A-238576,9.3,8,0.522,9.4
A-238584,9.3,8,0.825,4.92
A-238606,9.3,8,0.69,5.31
A-238618,9.3,8,0.964,6.7
A-238640,9.3,8,0.584,5.03
A-238643,9.3,8,0.569,9.9
A-238644,9.3,8,0.993,4.02
A-238657,9.3,8,0.599,9.68
A-238667,9.3,8,0.805,4.97
A-238673,9.3,8,0.706,7.62
A-238674,9.3,8,0.884,4.96
A-238687,9.3,8,0.817,6.73
A-238701,9.3,8,0.534,5.99
A-238710,9.3,8,0.712,8.28
A-238718,9.3,8,0.687,4.18
A-238723,9.3,8,0.67,9.8
A-238765,9.3,8,0.95,6.2
A-238775,9.3,8,0.878,9.01
A-238779,9.3,8,0.761,8.98
A-238780,9.3,8,0.653,4.64
A-238788,9.3,8,0.839,4.92
A-238793,9.3,8,0.545,9.82
A-238804,9.3,8,0.918,4.59
A-238819,9.3,8,0.812,4.86
A-238822,9.3,8,0.843,5.71
A-238826,9.3,8,0.595,7.58
A-238840,9.3,8,0.897,8.04
A-238845,9.3,8,0.942,5.36
A-238847,9.3,8,0.967,8.26
A-238856,9.3,8,0.813,6.73
A-238885,9.3,8,0.631,9.2
A-238890,9.3,8,0.98,8.78
A-238907,9.3,8,0.547,4.32
A-238943,9.3,8,0.548,5.35
A-238947,9.3,8,0.678,8.3
A-238957,9.3,8,0.975,6.06
A-238964,9.3,8,0.696,7.83
A-238969,9.3,8,0.638,9.68
A-238978,9.3,8,0.781,7.4
A-238984,9.3,8,0.899,9.34
A-238986,9.3,8,0.703,4.59
A-238989,9.3,8,0.956,4.42
A-238993,9.3,8,0.642,6.56
A-238995,9.3,8,0.908,6.92
A-239003,9.3,8,0.539,7.49
A-239022,9.3,8,0.65,7.31
A-239045,9.3,8,0.517,4.16
A-239048,9.3,8,0.912,4
A-239057,9.3,8,0.748,9.7
A-192503,6.6,8,0.535,6.45
A-192520,6.6,8,0.726,4.34
A-192564,6.6,8,0.511,9.04
A-192568,6.6,8,0.565,6.89
A-192576,6.6,8,0.707,5.32
A-192593,6.6,8,0.794,5.66
A-192601,6.6,8,0.919,4.48
A-192625,6.6,8,0.847,5.25
A-192638,6.6,8,0.778,9.94
A-192644,6.6,8,0.528,6.47
A-192645,6.6,8,0.665,7.01
A-192646,6.6,8,0.646,5.94
A-192675,6.6,8,0.866,7.97
A-192679,6.6,8,0.883,5.57
A-192680,6.6,8,0.699,4.36
A-192712,6.6,8,0.711,6.74
A-192716,6.6,8,0.962,9.05
A-192729,6.6,8,0.936,4.58
A-192735,6.6,8,0.838,8.95
A-192746,6.6,8,0.544,5
A-192756,6.6,8,0.887,8.46
A-192759,6.6,8,0.853,9.58
A-192763,6.6,8,0.848,8.92
A-192779,6.6,8,0.547,4.57
A-192781,6.6,8,0.662,5.83
A-192788,6.6,8,0.593,8.92
A-192796,6.6,8,0.846,6.12
A-192797,6.6,8,0.522,9.98
A-192801,6.6,8,0.739,8.75
A-192803,6.6,8,0.94,9.31
A-192811,6.6,8,0.895,6.45
A-192818,6.6,8,0.738,8.6
A-192846,6.6,8,0.928,7.85
A-192852,6.6,8,0.895,5.93
A-192859,6.6,8,0.718,8.29
A-192860,6.6,8,0.794,9.46
A-192864,6.6,8,0.822,9.08
A-192875,6.6,8,0.564,6.79
A-192876,6.6,8,0.852,7.57
A-192926,6.6,8,0.773,6.86
A-192934,6.6,8,0.896,5.26
A-192936,6.6,8,0.895,4.36
A-192945,6.6,8,0.574,5.04
A-192949,6.6,8,0.651,9.37
A-192957,6.6,8,0.524,7.63
A-192966,6.6,8,0.76,6.94
A-192971,6.6,8,0.997,9.56
A-192972,6.6,8,0.824,4.45
A-192977,6.6,8,0.989,5.49
A-192981,6.6,8,0.687,4.07
A-192996,6.6,8,0.633,8.88
A-193002,6.6,8,0.901,7.61
A-193003,6.6,8,0.604,5.82
A-193006,6.6,8,0.72,9.8
A-193007,6.6,8,0.666,8.5
A-193014,6.6,8,0.845,8.22
A-193015,6.6,8,0.611,8.8
A-193029,6.6,8,0.977,8.11
A-193044,6.6,8,0.946,5.04
A-193052,6.6,8,0.866,7.95
A-193061,6.6,8,0.813,9.96
A-193076,6.6,8,0.683,8.86
A-193078,6.6,8,0.925,9.36
A-193079,6.6,8,0.548,5.91
A-193090,6.6,8,0.699,7.32
A-193093,6.6,8,0.501,7.21
A-193094,6.6,8,0.721,7.64
A-193126,6.6,8,0.544,8.2
A-193129,6.6,8,0.522,9.97
A-193133,6.6,8,0.628,9.69
A-193134,6.6,8,0.587,9.03
A-193140,6.6,8,0.962,7.43
A-193146,6.6,8,0.927,8.26
A-193147,6.6,8,0.54,5.25
A-193156,6.6,8,0.964,6.01
A-193159,6.6,8,0.992,6.99
A-193167,6.6,8,0.974,4.72
A-193170,6.6,8,0.652,8.87
A-193186,6.6,8,0.901,4.69
A-193194,6.6,8,0.633,4.78
A-193209,6.6,8,0.994,6.92
A-193210,6.6,8,0.734,7.45
A-193213,6.6,8,0.573,7.11
A-193247,6.6,8,0.616,6.68
A-193258,6.6,8,0.52,9.38
A-193264,6.6,8,0.529,7.13
A-193268,6.6,8,0.875,7.77
A-193269,6.6,8,0.848,9.97
A-193274,6.6,8,0.948,8.62
A-193281,6.6,8,0.6,8.26
A-193293,6.6,8,0.909,9.43
A-193294,6.6,8,0.784,9.36
A-193307,6.6,8,0.888,6.58
A-193309,6.6,8,0.56,9.61
A-193310,6.6,8,0.74,9.7
A-193328,6.6,8,0.702,9.96
A-193338,6.6,8,0.649,6.41
A-193353,6.6,8,0.544,4.5
A-193354,6.6,8,0.783,10
A-193363,6.6,8,0.586,4.46
A-193409,6.6,8,0.991,4.76
A-193420,6.6,8,0.563,9.96
A-193430,6.6,8,0.605,4.58
A-193431,6.6,8,0.585,9.95
A-193446,6.6,8,0.963,9.34
A-193459,6.6,8,0.844,6.93
A-193460,6.6,8,0.76,7.27
A-193471,6.6,8,0.651,8.83
A-193485,6.6,8,0.73,5.98
A-193493,6.6,8,0.959,6.66
A-193503,6.6,8,0.76,9.55
A-193507,6.6,8,0.996,9.69
A-193509,6.6,8,0.988,5.71
A-193515,6.6,8,0.964,5.83
A-193538,6.6,8,0.857,8.72
A-193541,6.6,8,0.781,6.37
A-193542,6.6,8,0.606,7.72
A-193555,6.6,8,0.918,9.82
A-193580,6.6,8,0.597,9.82
A-193606,6.6,8,0.782,9.56
A-193620,6.6,8,0.979,8.21
A-193639,6.6,8,0.809,4.27
A-193644,6.6,8,0.874,9.78
A-193651,6.6,8,0.706,7.38
A-193655,6.6,8,0.768,9.4
A-193658,6.6,8,0.689,5.4
A-193659,6.6,8,0.869,8.3
A-193678,6.6,8,0.804,5.44
A-193704,6.6,8,0.814,9.72
A-193711,6.6,8,0.988,9.1
A-193716,6.6,8,0.928,6.36
A-193717,6.6,8,0.725,7.7
A-193726,6.6,8,0.607,4.14
A-193728,6.6,8,0.908,5.93
A-193729,6.6,8,0.857,9.38
A-193733,6.6,8,0.68,8.47
A-193739,6.6,8,0.549,6.78
A-193745,6.6,8,0.627,9.7
A-193764,6.6,8,0.767,7.34
A-193773,6.6,8,0.989,6.44
A-193785,6.6,8,0.605,4.79
A-193795,6.6,8,0.843,5.62
A-193801,6.6,8,0.894,5.3
A-193809,6.6,8,0.709,9.51
A-193813,6.6,8,0.734,8.06
A-193817,6.6,8,0.651,5.49
A-193831,6.6,8,0.61,6.12
A-193840,6.6,8,0.621,4.65
A-193846,6.6,8,0.646,6.12
A-193853,6.6,8,0.802,9.58
A-193858,6.6,8,0.587,5.91
A-193860,6.6,8,0.516,9.77
A-193868,6.6,8,0.645,4.41
A-193871,6.6,8,0.782,4.17
A-193882,6.6,8,0.593,4.96
A-193902,6.6,8,0.917,6.93
A-193929,6.6,8,0.652,7.63
A-193937,6.6,8,0.59,5.87
A-193961,6.6,8,0.828,8.24
A-193971,6.6,8,0.585,5.41
A-193986,6.6,8,0.789,6.59
A-193993,6.6,8,0.77,5.39
A-194004,6.6,8,0.546,5.72
A-194012,6.6,8,0.977,4.9
A-194018,6.6,8,0.944,9.88
A-194035,6.6,8,0.769,9.68
A-194037,6.6,8,0.772,9.68
A-194044,6.6,8,0.683,5.14
A-194049,6.6,8,0.625,6.63
A-194050,6.6,8,0.62,6.86
A-194063,6.6,8,0.647,7.86
A-194072,6.6,8,0.995,8.13
A-194077,6.6,8,0.578,5.62
A-194082,6.6,8,0.511,6.69
A-194084,6.6,8,0.881,4.32
A-194105,6.6,8,0.514,7.33
A-194117,6.6,8,0.96,7.91
A-194151,6.6,8,0.945,9.47
A-194155,6.6,8,0.815,8.95
A-194157,6.6,8,0.655,7.94
A-194162,6.6,8,0.746,4.68
A-194166,6.6,8,0.969,6.89
A-194168,6.6,8,0.5,5.79
A-194173,6.6,8,0.617,5.25
A-194175,6.6,8,0.594,7.26
A-194187,6.6,8,0.698,6.49
A-194196,6.6,8,0.896,6.89
A-194207,6.6,8,0.865,6.86
A-194209,6.6,8,0.79,7.85
A-194212,6.6,8,0.967,4.18
A-162146,4.8,8,0.991,5.54
A-162173,4.8,8,0.798,8.29
A-162197,4.8,8,0.692,7.82
A-162223,4.8,8,0.823,4.18
A-162228,4.8,8,0.953,9.07
A-162241,4.8,8,0.566,5.82
A-162282,4.8,8,0.657,7.97
A-162287,4.8,8,0.522,8.93
A-162295,4.8,8,0.958,8
A-162296,4.8,8,0.673,6.98
A-162300,4.8,8,0.791,8.57
A-162303,4.8,8,0.663,8.18
A-162317,4.8,8,0.885,8.91
A-162321,4.8,8,0.788,7.34
A-162322,4.8,8,0.671,7.14
A-162330,4.8,8,0.54,9.31
A-162332,4.8,8,0.984,9.77
A-162344,4.8,8,0.611,9.49
A-162345,4.8,8,0.899,4.88
A-162351,4.8,8,0.905,9.63
A-162381,4.8,8,0.568,7.64
A-162403,4.8,8,0.714,9.35
A-162410,4.8,8,0.891,6.42
A-162413,4.8,8,0.593,5.94
A-162415,4.8,8,0.59,9.03
A-162417,4.8,8,0.711,6.7
A-162421,4.8,8,0.598,8.39
A-162424,4.8,8,0.711,4.13
A-162426,4.8,8,0.547,9.14
A-162427,4.8,8,0.757,8.4
A-162430,4.8,8,0.989,6.61
A-162445,4.8,8,0.809,8.36
A-162446,4.8,8,0.743,4.34
A-162448,4.8,8,0.686,4.03
A-162456,4.8,8,0.514,9.63
A-162457,4.8,8,0.718,6.43
A-162458,4.8,8,0.529,7.88
A-162463,4.8,8,0.858,6.49
A-162468,4.8,8,0.691,5.14
A-162488,4.8,8,0.693,9.97
A-162493,4.8,8,0.569,4.23
A-162506,4.8,8,0.98,4.82
A-162515,4.8,8,0.992,8.69
A-162516,4.8,8,0.646,7.31
A-162517,4.8,8,0.735,5.91
A-162535,4.8,8,0.585,8.22
A-162538,4.8,8,0.844,9.99
A-162541,4.8,8,0.642,7.32
A-162554,4.8,8,0.864,5.26
A-162555,4.8,8,0.834,9.7
A-162565,4.8,8,0.58,9.41
A-162574,4.8,8,0.874,6.3
A-162581,4.8,8,0.736,7.08
A-162583,4.8,8,0.713,6.01
A-162584,4.8,8,0.649,9.89
A-162585,4.8,8,0.644,8.38
A-162588,4.8,8,0.721,6.77
A-162616,4.8,8,0.969,9.74
A-162625,4.8,8,0.796,6.87
A-162655,4.8,8,0.738,9.25
A-162662,4.8,8,0.64,9.14
A-162663,4.8,8,0.934,5.86
A-162673,4.8,8,0.998,4.14
A-162676,4.8,8,0.747,5.92
A-162678,4.8,8,0.86,5.41
A-162679,4.8,8,0.995,7.16
A-162689,4.8,8,0.802,7.78
A-162720,4.8,8,0.877,5.86
A-162738,4.8,8,0.965,6.64
A-162745,4.8,8,0.71,5.71
A-162753,4.8,8,0.647,8.49
A-162765,4.8,8,0.743,8.58
A-162771,4.8,8,0.714,9.65
A-162773,4.8,8,0.541,6.97
A-162782,4.8,8,0.664,8.39
A-162803,4.8,8,0.888,7.66
A-162808,4.8,8,0.508,8.93
A-162812,4.8,8,0.975,6.69
A-162819,4.8,8,0.721,7.43
A-162827,4.8,8,0.756,9.43
A-162833,4.8,8,0.704,9.7
A-162837,4.8,8,0.56,9.14
A-162838,4.8,8,0.724,6.97
A-162842,4.8,8,0.795,8.27
A-162871,4.8,8,0.515,5.8
A-162883,4.8,8,0.819,6.48
A-162885,4.8,8,0.564,5.4
A-162893,4.8,8,0.7,5.58
A-162895,4.8,8,0.973,4.8
A-162905,4.8,8,0.55,5.83
A-162911,4.8,8,0.559,6.61
A-162923,4.8,8,0.59,6.36
A-162926,4.8,8,0.905,6.29
A-162940,4.8,8,0.56,6.75
A-162950,4.8,8,0.969,7.37
A-162958,4.8,8,0.989,7.27
A-162967,4.8,8,0.679,9.21
A-162974,4.8,8,0.745,5.63
A-162975,4.8,8,0.601,4.96
A-162980,4.8,8,0.912,4.17
A-162997,4.8,8,0.731,7.19
A-163025,4.8,8,0.791,9.22
A-163034,4.8,8,0.785,5.2
A-163042,4.8,8,0.927,9.56
A-163055,4.8,8,0.86,9.89
A-163064,4.8,8,0.591,6.16
A-163070,4.8,8,0.721,5.36
A-163072,4.8,8,0.96,8.71
A-163083,4.8,8,0.607,6.04
A-163087,4.8,8,0.691,9.38
A-163093,4.8,8,0.866,6.58
A-163096,4.8,8,0.929,9.65
A-163100,4.8,8,0.525,6.05
A-163112,4.8,8,0.956,8.9
A-163113,4.8,8,0.524,8.1
A-163132,4.8,8,0.582,4.33
A-163136,4.8,8,0.606,4.83
A-163147,4.8,8,0.745,9.87
A-163148,4.8,8,0.796,6.34
A-163153,4.8,8,0.933,8.48
A-163163,4.8,8,0.754,9.23
A-163173,4.8,8,0.718,4.87
A-163189,4.8,8,0.501,8.21
A-163197,4.8,8,0.868,6.92
A-163201,4.8,8,0.506,6.77
A-163208,4.8,8,1,8.74
A-163229,4.8,8,0.69,9.27
A-163254,4.8,8,0.81,5.55
A-163255,4.8,8,0.688,4.39
A-163258,4.8,8,0.614,6.2
A-163266,4.8,8,0.842,5.74
A-163267,4.8,8,0.52,4.05
A-163268,4.8,8,0.878,4.35
A-163276,4.8,8,0.962,7.57
A-163281,4.8,8,0.653,4.22
A-163293,4.8,8,0.814,8.81
A-163296,4.8,8,0.861,7.8
A-163298,4.8,8,0.537,6.1
A-163339,4.8,8,0.775,8.75
A-163349,4.8,8,0.542,9.89
A-163354,4.8,8,0.912,4.3
A-163370,4.8,8,0.692,7.13
A-163391,4.8,8,0.806,5.74
A-163414,4.8,8,0.525,7.57
A-163415,4.8,8,0.628,6.33
A-163420,4.8,8,0.624,7.72
A-163425,4.8,8,0.561,7.04
A-163428,4.8,8,0.65,8.48
A-163436,4.8,8,0.81,6.07
A-163449,4.8,8,0.954,4.05
A-163470,4.8,8,0.855,9.08
A-163493,4.8,8,0.716,8.15
A-163494,4.8,8,0.769,7.47
A-163509,4.8,8,0.616,4.95
A-163550,4.8,8,0.742,6.49
A-163555,4.8,8,0.974,7.01
A-163558,4.8,8,0.604,8.87
A-163560,4.8,8,0.513,8.2
A-163564,4.8,8,0.829,5.92
A-163565,4.8,8,0.831,7.32
A-163566,4.8,8,0.621,5.15
A-163567,4.8,8,0.625,5.12
A-163593,4.8,8,0.507,8.6
A-163604,4.8,8,0.898,8.5
A-163616,4.8,8,0.965,4.77
A-163653,4.8,8,0.685,7.81
A-163658,4.8,8,0.583,9.85
A-163661,4.8,8,0.687,5.77
A-163665,4.8,8,0.893,6.86
A-163666,4.8,8,0.82,6.1
A-163675,4.8,8,0.68,7.01
A-163677,4.8,8,0.896,7.47
A-163688,4.8,8,0.508,4.98
A-163725,4.8,8,0.92,9.65
A-163735,4.8,8,0.856,7.39
A-163737,4.8,8,0.976,5.13
A-163745,4.8,8,0.764,6.4
A-163746,4.8,8,0.707,8.45
A-163747,4.8,8,0.909,9.14
A-163755,4.8,8,0.825,6.51
A-163762,4.8,8,0.649,5.48
A-163764,4.8,8,0.941,6.56
A-163775,4.8,8,0.815,9.39
A-163777,4.8,8,0.928,8.5
A-163781,4.8,8,0.745,9.62
A-163793,4.8,8,0.93,7.87
A-163801,4.8,8,0.559,7.67
A-163804,4.8,8,0.949,4.2
A-163808,4.8,8,0.883,9
A-120633,2.3,8,0.745,9.9
A-120646,2.3,8,0.521,8.08
A-120649,2.3,8,0.961,6.03
A-120656,2.3,8,0.983,6.24
A-120657,2.3,8,0.749,4.8
A-120671,2.3,8,0.839,9.92
A-120672,2.3,8,0.662,5.75
A-120677,2.3,8,0.704,5.9
A-120701,2.3,8,0.844,9.64
A-120710,2.3,8,0.734,4.43
A-120725,2.3,8,0.767,7.54
A-120737,2.3,8,0.956,8.74
A-120739,2.3,8,0.522,7.37
A-120747,2.3,8,0.987,9.78
A-120750,2.3,8,0.762,7.27
A-120752,2.3,8,0.913,8.59
A-120754,2.3,8,0.817,9.6
A-120755,2.3,8,0.639,5.66
A-120761,2.3,8,0.825,5.34
A-120764,2.3,8,0.825,7.55
A-120768,2.3,8,0.722,5.23
A-120773,2.3,8,0.819,4.33
A-120813,2.3,8,0.881,9.57
A-120825,2.3,8,0.93,5.46
A-120826,2.3,8,0.627,9.53
A-120829,2.3,8,0.568,4.18
A-120831,2.3,8,0.634,8.07
A-120843,2.3,8,0.917,4.4
A-120844,2.3,8,0.777,8.64
A-120849,2.3,8,0.921,4.85
A-120857,2.3,8,0.725,6.5
A-120864,2.3,8,0.622,8.31
A-120865,2.3,8,0.897,6.16
A-120867,2.3,8,0.914,9.16
A-120873,2.3,8,0.606,8.62
A-120877,2.3,8,0.863,6.99
A-120893,2.3,8,0.71,9.63
A-120895,2.3,8,0.542,4.27
A-120910,2.3,8,0.933,5.37
A-120912,2.3,8,0.596,9.02
A-120928,2.3,8,0.781,6.51
A-120931,2.3,8,0.554,4.19
A-120934,2.3,8,0.685,6.25
A-120939,2.3,8,0.734,7.06
A-120947,2.3,8,0.665,9.7
A-120948,2.3,8,0.584,7.29
A-120949,2.3,8,0.901,8.36
A-120962,2.3,8,0.565,6.96
A-120966,2.3,8,0.845,4.94
A-120969,2.3,8,0.973,7.78
A-120989,2.3,8,0.509,6.92
A-120995,2.3,8,0.782,5.96
A-120999,2.3,8,0.941,5.42
A-121007,2.3,8,0.594,4.65
A-121008,2.3,8,0.878,4.82
A-121011,2.3,8,0.59,8.71
A-121012,2.3,8,0.566,6.37
A-121013,2.3,8,0.981,5.82
A-121020,2.3,8,0.981,6.39
A-121022,2.3,8,0.916,4.42
A-121032,2.3,8,0.704,8.08
A-121034,2.3,8,0.512,6.17
A-121038,2.3,8,0.855,4.63
A-121045,2.3,8,0.551,6.62
A-121055,2.3,8,0.859,5.03
A-121056,2.3,8,0.736,4.39
A-121065,2.3,8,0.954,8.14
A-121068,2.3,8,0.864,9.34
A-121071,2.3,8,0.749,5.15
A-121072,2.3,8,0.966,7.04
A-121084,2.3,8,0.635,8.2
A-121099,2.3,8,0.815,4.31
A-121101,2.3,8,0.917,6.73
A-121103,2.3,8,0.512,5.95
A-121107,2.3,8,0.963,4.09
A-121108,2.3,8,0.943,9.53
A-121116,2.3,8,0.902,8.42
A-121120,2.3,8,0.919,8.04
A-121121,2.3,8,0.563,9.31
A-121137,2.3,8,0.522,5.95
A-121138,2.3,8,0.991,9.61
A-121143,2.3,8,0.994,4.88
A-121167,2.3,8,0.814,4.78
A-121170,2.3,8,0.801,4.93
A-121183,2.3,8,0.56,7.08
A-121191,2.3,8,0.953,8.45
A-121200,2.3,8,0.563,8.63
A-121208,2.3,8,0.967,9.31
A-121221,2.3,8,0.583,8.24
A-121230,2.3,8,0.852,4.88
A-121233,2.3,8,0.632,4.86
A-121238,2.3,8,0.834,7.12
A-121243,2.3,8,0.501,9.31
A-121247,2.3,8,0.787,9.08
A-121272,2.3,8,0.626,5.58
A-121296,2.3,8,0.526,8.89
A-121301,2.3,8,0.909,9.46
A-121308,2.3,8,0.732,5.6
A-121311,2.3,8,0.799,4.29
A-121312,2.3,8,0.635,8.75
A-121317,2.3,8,0.784,5
A-121321,2.3,8,0.905,7.45
A-121334,2.3,8,0.638,6.59
A-121338,2.3,8,0.779,9.06
A-121342,2.3,8,0.713,9.34
A-121373,2.3,8,0.525,9.69
A-121398,2.3,8,0.639,8.67
A-121415,2.3,8,0.724,7.46
A-121426,2.3,8,0.683,5.66
A-121435,2.3,8,0.685,6.13
A-121436,2.3,8,0.636,7.24
A-121437,2.3,8,0.554,9.18
A-121446,2.3,8,0.914,4.26
A-121471,2.3,8,0.78,5.19
A-121474,2.3,8,0.54,5.17
A-121476,2.3,8,0.74,4.51
A-121491,2.3,8,0.776,7.39
A-121500,2.3,8,0.663,8.02
A-121518,2.3,8,0.848,8.27
A-121526,2.3,8,0.698,4.05
A-121541,2.3,8,0.795,7.06
A-121549,2.3,8,0.832,5.64
A-121556,2.3,8,0.526,6.14
A-121561,2.3,8,0.706,8.22
A-121584,2.3,8,0.972,8.29
A-121601,2.3,8,0.952,6.5
A-121626,2.3,8,0.722,7.28
A-121627,2.3,8,0.896,9.4
A-121629,2.3,8,0.804,9.19
A-121647,2.3,8,0.501,4.11
A-121652,2.3,8,0.79,8.67
A-121653,2.3,8,0.85,5.83
A-121657,2.3,8,0.996,4.99
A-121659,2.3,8,0.887,8.52
A-121660,2.3,8,0.757,5.48
A-121664,2.3,8,0.621,4.47
A-121684,2.3,8,0.619,4.31
A-121689,2.3,8,0.957,9.52
A-121692,2.3,8,0.875,5.19
A-121709,2.3,8,0.589,6.18
A-121712,2.3,8,0.628,8.35
A-121722,2.3,8,0.869,8.22
A-121723,2.3,8,0.873,8.63
A-121730,2.3,8,0.504,8.31
A-121742,2.3,8,0.617,5.14
A-121744,2.3,8,0.786,5.79
A-121757,2.3,8,0.712,7.75
A-121764,2.3,8,0.526,4.04
A-121773,2.3,8,0.515,8.92
A-121779,2.3,8,0.68,4.16
A-121787,2.3,8,0.658,6.12
A-121797,2.3,8,0.552,6.61
A-121803,2.3,8,0.659,4.61
A-121814,2.3,8,0.556,7.97
A-121828,2.3,8,0.742,8.41
A-121834,2.3,8,0.8,5.44
A-121839,2.3,8,0.516,4.8
A-121841,2.3,8,0.783,5.33
A-121853,2.3,8,0.993,7.65
A-121865,2.3,8,0.939,9.31
A-121897,2.3,8,0.888,7.91
A-121900,2.3,8,0.795,8.51
A-121920,2.3,8,0.702,8.85
A-121935,2.3,8,0.942,6.4
A-121939,2.3,8,0.558,5.86
A-121941,2.3,8,0.74,7.29
A-121955,2.3,8,0.913,6.86
A-121957,2.3,8,0.959,4.1
A-122011,2.3,8,0.993,4.31
A-122019,2.3,8,0.573,7.34
A-122042,2.3,8,0.785,6.55
A-122065,2.3,8,0.868,8.07
A-122088,2.3,8,0.567,5.94
A-122100,2.3,8,0.746,8.98
A-122105,2.3,8,0.655,8.24
A-122109,2.3,8,0.539,7.66
A-122129,2.3,8,0.979,4.05
A-122146,2.3,8,0.523,5.17
A-122156,2.3,8,0.911,5.9
A-122157,2.3,8,0.771,4.03
A-122177,2.3,8,0.641,5.88
A-122179,2.3,8,0.584,5.72
A-122193,2.3,8,0.683,9.9
A-122210,2.3,8,0.937,6.97
A-122214,2.3,8,0.777,8.33
A-122217,2.3,8,0.99,6.14
A-122234,2.3,8,0.606,9.93
A-122244,2.3,8,0.643,6.15
A-122250,2.3,8,0.926,9.55
A-122253,2.3,8,0.512,6.25
A-122276,2.3,8,0.634,6.7
A-122304,2.3,8,0.819,9.56
A-122307,2.3,8,0.681,8.03
A-122321,2.3,8,0.953,9.7
A-122325,2.3,8,0.582,5.85
A-173960,5.5,8,0.926,9.02
A-173986,5.5,8,0.598,5.83
A-173987,5.5,8,0.882,5.3
A-173989,5.5,8,0.968,7.21
A-173994,5.5,8,0.774,7.44
A-173999,5.5,8,0.572,5.81
A-174004,5.5,8,0.905,9.5
A-174026,5.5,8,0.968,8.4
A-174027,5.5,8,0.964,6.37
A-174030,5.5,8,0.534,7.95
A-174041,5.5,8,0.894,5.14
A-174047,5.5,8,0.896,9.88
A-174050,5.5,8,0.828,6.47
A-174059,5.5,8,0.707,4.75
A-174060,5.5,8,0.923,8.41
A-174075,5.5,8,0.774,9.44
A-174083,5.5,8,0.729,9.63
A-174087,5.5,8,0.901,5.14
A-174089,5.5,8,0.625,9.76
A-174093,5.5,8,0.908,7.43
A-174103,5.5,8,0.816,5.19
A-174108,5.5,8,0.658,8.15
A-174109,5.5,8,0.572,6.45
A-174116,5.5,8,0.594,8.58
A-174118,5.5,8,0.888,9.45
A-174124,5.5,8,0.631,6.99
A-174129,5.5,8,0.964,6.56
A-174136,5.5,8,0.738,4.23
A-174140,5.5,8,0.599,9.45
A-174145,5.5,8,0.554,8.87
A-174146,5.5,8,0.837,4.73
A-174147,5.5,8,0.737,8.8
A-174149,5.5,8,0.601,4.67
A-174164,5.5,8,0.836,4.45
A-174165,5.5,8,0.747,7.18
A-174175,5.5,8,0.875,9.02
A-174180,5.5,8,0.864,8.53
A-174182,5.5,8,0.636,5.69
A-174189,5.5,8,0.697,9.93
A-174194,5.5,8,0.928,8.97
A-174213,5.5,8,0.879,8.56
A-174214,5.5,8,0.915,5.59
A-174216,5.5,8,0.555,8.54
A-174218,5.5,8,0.568,5.29
A-174234,5.5,8,0.74,8.89
A-174245,5.5,8,0.827,6.67
A-174248,5.5,8,0.685,6.18
A-174257,5.5,8,0.679,6.04
A-174266,5.5,8,0.87,6.81
A-174274,5.5,8,0.741,4.66
A-174275,5.5,8,0.541,6.29
A-174277,5.5,8,0.746,6.8
A-174293,5.5,8,0.541,5.54
A-174295,5.5,8,0.616,8.36
A-174319,5.5,8,0.898,5.45
A-174320,5.5,8,0.723,9.28
A-174327,5.5,8,0.925,4.94
A-174334,5.5,8,0.743,5.52
A-174364,5.5,8,0.858,8.5
A-174370,5.5,8,0.789,4.76
A-174375,5.5,8,0.674,7.77
A-174384,5.5,8,0.767,4.31
A-174386,5.5,8,0.629,7.7
A-174397,5.5,8,0.974,6.79
A-174411,5.5,8,0.854,7.48
A-174437,5.5,8,0.737,6.73
A-174443,5.5,8,0.837,4.1
A-174448,5.5,8,0.657,6.6
A-174449,5.5,8,0.556,9.49
A-174454,5.5,8,0.945,8.04
A-174460,5.5,8,0.745,5.23
A-174472,5.5,8,0.616,5.96
A-174474,5.5,8,0.573,9.34
A-174475,5.5,8,0.777,5.66
A-174476,5.5,8,0.909,4.72
A-174481,5.5,8,0.609,4.03
A-174502,5.5,8,0.655,7.77
A-174517,5.5,8,0.891,4.82
A-174532,5.5,8,0.749,8.76
A-174538,5.5,8,0.775,8.92
A-174541,5.5,8,0.596,8.46
A-174564,5.5,8,0.86,5.44
A-174573,5.5,8,0.637,7.97
